,Tweet Text
214,"@dewiirawan13 Mantap 👍🏻, jaga kesehatan mba dew dan tetap semangat ✊🏼"
215,Sudah seharusnya karena bikin polri tercoreng https://t.co/1ruCsB3psW
216,Bravo Polri ✊🏼 https://t.co/b9lWQNtjgs
217,"Lawan mba dew , saya support ✊🏼 https://t.co/8D4J0oZYl6"
218,"Kurang sehat terus harus dibela dengan pertimbangan , kapan mau majunya 🤣 https://t.co/QI3CMw0GhK"
219,"Suara pacul tidak akan pernah pecahkan barisan banteng , jadilah banteng sejati bukan haus hormat @PDI_Perjuangan #GueBanteng ✊🏼 https://t.co/FU3rGSOOPq"
220,"Ngga usah ada ungkapan otoriter dan kata membuli, dewasa lah berpolitik ...lo itu sudah berapa lama bergelut dalam dunia politik ? .. yang bikin akses capres dari oposisi dipersulit itu dari mana sumbernya ? .. Introspeksilah 🤔 https://t.co/1k7kHOgmFf"
221,"Harus cari tau siapa yang berikan instruksi sampai ada pagar untuk LE, dan ini seperti skenario akal busuk https://t.co/7oXkjZsH9d"
222,@g1rsang @ElinaDio @BalyaMoh @robbie49100423 Amin 🙏🏻
223,"@liskenhsitorus Amin, makasih ken 🙏🏻"
224,"@sylviawoskan Amin , makasih syl 🙏🏻"
225,@AyamSegar3 @SahabatSaber Sama2 🙏🏻
226,"@AyamSegar3 @SahabatSaber Amin , makasih ya 🙏🏻"
227,"@SahabatSaber Amin , makasih mba nina 🙏🏻"
228,Jangan tertipu atau terbuai dengan sesuatu yang menyesatkan dan harus bisa teliti dari bahasa kritikan antara pro pemerintah dengan oposisi karena siluman tidak hanya pintar gonta ganti wajah maupun identitas tapi pintar mengubah kelamin...
229,"Walaupun tidak respek lagi dengan sandiwara kasus ini tapi harus tetap dikawal sampai selesai , bukan begitu mak 🤔✊🏼 https://t.co/MywgYZ3Kgb"
230,"Sektor bisnis ada investor dan mafia yang punya andil besar ketika akan ada agenda demokrasi, keduanya punya pilihan untuk kepentingan bisnis mereka bukan sekedar untuk menambah pundi2 aset tapi prospeknya pun sudah diperhitungkan..."
231,Investor tidak akan berpihak kalau AB maupun AHY di usung nasdem cs https://t.co/VLjZ2kBRdn
232,Tapi pertanyaannya kenapa Hakim kurang tegas untuk memberikan vonis hukuman kepada seseorang tersangka 🤔? @KejaksaanRI @mohmahfudmd @Kemenkumham_RI https://t.co/h5FMYs48aO
233,Waduh 🤦🏼‍♂️ https://t.co/MDLWoiue9F
234,@MrsRachelIn Ada kepentingan yang fantastis tapi sudah terbaca ...thanks MK 👍🏻
235,@TJHoois Mungkin dia tidak paham apa yang diucapkan tapi benar harus dimaklumi 🙏🏻
236,"@cintamerahputi6 Amin , terima kasih ya 🙏🏻"
237,"@arifin34533 Amin , makasih mas hans 🙏🏻"
238,"Jangan beri ruang untuk sirkelan koruptor plus pelaku tindak pidana lainnya, Lawan ✊🏼"
239,"Bebas2 saja mo bela yang salah tapi jangan tutup mata hati untuk hal yang merugikan , tokoh agama seharusnya netral dan memberikan pencerahan bukan ikut memberikan informasi yang meyesatkan https://t.co/H80G9InzpK"
240,@Cintada16 Mandi La 🙄
241,@NayDonuts Dana otsus milik rakyat bukan dinikmati oleh pejabat maruk ... lawan koruptor plus sirkelnya ✊🏼
242,@Ode84 Makasih brader 🙏🏻
243,"@Gendis_id Amin , makasih ya 🙏🏻"
244,@Minietweets_ Thanks mba mini 🙏🏻
245,"Terima kasih Tuhan untuk menambahkan umurku hari ini , kesehatan yang cukup , berkat yang cukup dan menjaga keluarga ku dan sahabat ku...🍻"
246,"@hansssolo Saritak , sariawan botak 🤣"
247,"Di bela karena ada modus , bungkus semua koruptor plus lingkarannya ✊🏼 https://t.co/fIRJiq4HCJ"
248,"@IneedULord_ 60an ya 🤔, manggil oma ahhh 🫢"
249,@Minietweets_ @MaryanaNunung @Susie34304092 @willia_queen Together we rise ✊🏼🔥
250,"Sindirannya hanya itu2 aja , ngga berkelas 🤣 https://t.co/1AXOGFBtLG"
251,"@Madebylaluna Hari ini baru ketemu kopi , karena ngemil manggis dan nanas sambil ngopi jadi dua minggu harus lemesin otot perut"
252,Maksudnya: pengacara
253,Cukup sekali punya Gubernur DKI seperti itu 😴 https://t.co/lmLzNDPlbc
254,"Pengacanya dia 🤣, di KPK aja ngga becus 🤣 https://t.co/wvoIa4l0W6"
255,"@Madebylaluna Ada ramuannya tapi menjijikan , nanti ngga nafsu makan 🫣"
256,@FerdinandHutah5 Haha 👍🏻🤣
257,"@Madebylaluna Kalo ngeri minum jamu pegal linu 🤣, kebo cikeas masih kalah dengan siluman buaya 🫢"
258,"Muatan politisnya biar orang2 pilih dia di 2024 , busuk kan 🤣 https://t.co/IgtRHzVLvv"
259,"@Madebylaluna Ngga mempan, harus kena tumbuk 🤣"
260,Belatung ancol ngambek 🤣 https://t.co/BDPUc2GxNc
261,"@Madebylaluna Hati2 posting seperti itu , karena siber twitter lebih kejam dari rasnya kadrun 🤣"
262,"@Madebylaluna Karena tidak dipasang awalan ""ngen"" agar tidak kena santet twitter 🤣"
263,Banyak pihak yang merasa bekerja lebih bagus dari Jokowi dan itu artinya mereka tidak mampu bekerja keras seperti Jokowi... https://t.co/Aly7rY4bsH
264,@Madebylaluna Seneng ya lihat video totot 🤔
265,"Binatang tidak pernah tahu kalau tercipta sebagai binatang dan kadang sifat seperti binatang ditujukan kepada yang bukan binatang, manusia terlahir dari manusia kemudian dibesarkan , di ajarkan, di rawat, di didik dan setelah itu lupa sebagai manusia..."
266,Yang pasang badan masih berkicau dan penegak hukum pun tidak boleh lemah https://t.co/j7QOTl893j
267,"Never listen to stupid advice, destiny has something to offer just for us...☕️"
268,Fight for your rights and never take anything for granted...☕️
